event_name,1-stop_pct,2-stop_pct,3+-stop_pct,1-stop_count,2-stop_count,3+-stop_count,total_drivers
Saudi Arabian Grand Prix,87.2,10.3,2.6,34,4,1,39
Miami Grand Prix,82.5,15.0,2.5,33,6,1,40
Azerbaijan Grand Prix,82.1,12.8,5.1,32,5,2,39
Emilia Romagna Grand Prix,80.0,10.0,10.0,16,2,2,20
Singapore Grand Prix,73.7,21.1,5.3,28,8,2,38
Italian Grand Prix,56.4,41.0,2.6,22,16,1,39
Mexico City Grand Prix,47.4,36.8,15.8,18,14,6,38
Monaco Grand Prix,47.2,41.7,11.1,17,15,4,36
United States Grand Prix,46.2,48.7,5.1,18,19,2,39
Dutch Grand Prix,35.9,15.4,48.7,14,6,19,39
Abu Dhabi Grand Prix,35.9,56.4,7.7,14,22,3,39
British Grand Prix,34.2,50.0,15.8,13,19,6,38
Belgian Grand Prix,23.1,66.7,10.3,9,26,4,39
Las Vegas Grand Prix,20.5,74.4,5.1,8,29,2,39
Chinese Grand Prix,20.0,60.0,20.0,4,12,4,20
Canadian Grand Prix,18.4,60.5,21.1,7,23,8,38
São Paulo Grand Prix,11.4,34.3,54.3,4,12,19,35
Hungarian Grand Prix,7.5,85.0,7.5,3,34,3,40
Australian Grand Prix,5.4,51.4,43.2,2,19,16,37
Japanese Grand Prix,2.6,39.5,57.9,1,15,22,38
Bahrain Grand Prix,2.5,67.5,30.0,1,27,12,40
Qatar Grand Prix,0.0,0.0,100.0,0,0,36,36
Austrian Grand Prix,0.0,40.0,60.0,0,16,24,40
Spanish Grand Prix,0.0,87.5,12.5,0,35,5,40
