team_name,entries,avg_efficiency,median_efficiency,std_efficiency,best_efficiency,pct_faster_than_avg,avg_total_pit_time_s
AlphaTauri,39,0.9727,0.9674,0.1039,0.5369,76.9,450.37
Red Bull Racing,85,0.9761,0.9674,0.1326,0.7073,82.4,319.25
Mercedes,87,0.9773,0.9699,0.11,0.5807,75.9,335.51
Ferrari,86,0.9869,0.9698,0.1056,0.8723,77.9,278.51
Alpine,79,0.9898,0.976,0.0965,0.7484,67.1,273.34
Williams,78,0.9916,0.9874,0.1208,0.5947,61.5,208.66
McLaren,86,0.9988,0.9683,0.1279,0.7177,70.9,374.27
RB,44,1.0034,0.9828,0.1124,0.8539,63.6,249.31
Alfa Romeo,42,1.0104,1.0006,0.1237,0.6359,50.0,406.18
Aston Martin,85,1.016,0.9826,0.1446,0.7618,64.7,333.14
Haas F1 Team,84,1.0286,1.0004,0.1584,0.5876,48.8,247.72
Kick Sauber,46,1.053,0.9942,0.2637,0.5162,54.3,248.81
